Provinsi,Persentase
Aceh,31.57
Sumatera Utara,39.37
Sumatera Barat,43.9
Riau,42.83
Jambi,43.57
Sumatera Selatan,39.44
Bengkulu,39.69
Lampung,40.87
Kep. Bangka Belitung,44.24
Kepulauan Riau,46.38
DKI Jakarta,58.47
Jawa Barat,50.19
Jawa Tengah,50.99
DI Yogyakarta,71
Jawa Timur,52.34
Banten,47.16
Bali,56.07
Nusa Tenggara Barat,34.75
Nusa Tenggara Timur,21.12
Kalimantan Barat,36.02
Kalimantan Tengah,41.37
Kalimantan Selatan,48.67
Kalimantan Timur,50.44
Kalimantan Utara,45.83
Sulawesi Utara,44.01
Sulawesi Tengah,35
Sulawesi Selatan,45.63
Sulawesi Tenggara,36.85
Gorontalo,45.47
Sulawesi Barat,29.63
Maluku,30.32
Maluku Utara,24.92
Papua Barat,33.75
Papua,20.69
Indonesia,45.75
